宝贝关键词_2013-11-19全部数据,
关键词,平均搜索排名,展现量,点击量,点击率,入店次数,访客数,入店访问深度,跳失率,成交用户数,支付宝成交件数,支付宝成交金额,成交转化率,
铁观音 浓香,223,1,1,1,1,1,1,1,0,0,0,0
铁观音浓香,162,10,1,0.1,1,1,1,1,0,0,0,0
铁观音 正品,144,3,1,0.3333,1,1,1,1,0,0,0,0
铁观音 浓香 特级,121,28,1,0.0357,1,1,1,1,0,0,0,0
安溪铁观音,104,27,2,0.0741,2,1,1,1,0,0,0,0
铁观音浓香 秋茶,63,3,1,0.3333,1,1,1,1,0,0,0,0
铁观音茶叶正品,55,48,1,0.0208,1,1,1,1,0,0,0,0
秋茶铁观音,52,5,1,0.2,1,1,1,1,0,0,0,0
安溪铁观音浓香特级观音王,47,3,1,0.3333,1,1,1,1,0,0,0,0
铁观音秋茶,41,78,1,0.0128,1,1,1,1,0,0,0,0
茶农,28,11,1,0.0909,1,1,1,1,0,0,0,0
茶农茶叶,28,4,1,0.25,1,1,1,1,0,0,0,0
观音王 浓香 特级,28,8,2,0.25,2,2,1,1,0,0,0,0
正宗铁观音,24,23,2,0.087,2,2,1,1,0,0,0,0
正宗安溪铁观音,22,73,4,0.0548,5,5,1.2,0.8,0,0,0,0
铁观音茶农,18,6,1,0.1667,2,2,1,0.5,0,0,0,0
观音王,16,139,5,0.036,3,3,1,1,0,0,0,0
秋茶铁观音茶农直销,13,52,11,0.2115,11,2,1.36,0.5455,0,0,0,0
浓香型铁观音,12,71,3,0.0423,3,2,1,0.6667,0,0,0,0
安溪铁观音茶农直销,9,111,7,0.0631,7,7,1.14,0.7143,0,0,0,0
特级浓香型铁观音,7,15,1,0.0667,1,1,1,1,0,0,0,0
安溪铁观音 茶农直销,6,4,1,0.25,1,1,1,1,0,0,0,0
茶叶 正宗安溪铁观音 茶农直销,5,10,1,0.1,1,1,1,1,0,0,0,0
铁观音 茶农直销,5,33,1,0.0303,2,2,1,1,0,0,0,0
铁观音茶农直销,5,27,1,0.037,1,1,1,1,0,0,0,0
